-DOCSTART-	O
logic	I-6
unit	I-6
arithmetic	B-6
unit	I-6
assembly	B-6
language	I-6
assembly	B-6
language	I-6
program	I-6
assembly	B-6
language	I-6
programs	I-6
basic	B-6
machine	I-6
operation	I-6
BRA	B-6
branching	B-6
BRP	B-6
BRZ	B-6
bus	B-6
buses	B-6
cache	B-6
cache	B-6
memory	I-6
caching	B-6
central	B-6
processing	I-6
unit	I-6
CIR	B-6
CISC	B-6
clearing	B-6
registers	I-6
clock	B-6
clock	B-6
speed	I-6
complex	B-6
instruction	I-6
set	I-6
computer	I-6
control	B-6
control	B-6
bus	I-6
control	B-6
buses	I-6
control	B-6
unit	I-6
core	B-6
cores	B-6
CPU	B-6
current	B-6
instruction	I-6
register	I-6
cycle	B-6
cycles	B-6
data	B-6
bus	B-6
data	B-6
bus	I-6
width	I-6
data	B-6
processing	I-6
datum	B-6
decode	B-6
dedicated	B-6
register	I-6
dedicated	B-6
registers	I-6
direct	B-6
execute	B-6
executing	B-6
the	I-6
code	I-6
execution	B-6
execution	B-6
error	I-6
execution	B-6
errors	I-6
fetch	B-6
fetch	B-6
decode	I-6
execute	I-6
cycle	I-6
fetch	B-6
execute	I-6
fetch	B-6
execute	I-6
cycle	I-6
fetch-decode-execute	B-6
cycle	I-6
fetch-execute	B-6
fetch-execute	B-6
cycle	I-6
general	B-6
purpose	I-6
register	I-6
general	B-6
purpose	I-6
registers	I-6
general-purpose	B-6
register	I-6
general-purpose	B-6
registers	I-6
GPU	B-6
graphics	B-6
processing	I-6
unit	I-6
halt	B-6
immediate	I-6
instruction	B-6
instruction	B-6
set	I-6
instructions	B-6
interrupt	B-6
interrupt	B-6
handling	I-6
interrupt	B-6
service	I-6
routine	I-6
interrupts	B-6
ISR	B-6
load	B-6
loader	B-6
loaders	B-6
machine	B-6
code	I-6
MAR	B-6
MDR	B-6
memory	B-6
address	I-6
memory	B-6
address	I-6
register	I-6
memory	B-6
data	I-6
register	I-6
memory	B-6
unit	I-6
mnemonic	B-6
mnemonic	B-6
form	I-6
multi	B-6
level	I-6
feedback	I-6
queries	I-6
multi-level	B-6
feedback	I-6
queries	I-6
multicore	B-6
multiple	B-6
cores	I-6
opcode	B-6
operand	B-6
operands	B-6
parallel	B-6
parallel	B-6
core	I-6
parallel	B-6
processing	I-6
performance	B-6
process	B-6
data	I-6
process	B-6
state	I-6
process	B-6
states	I-6
processess	B-6
processing	B-6
processing	B-6
stage	I-6
processing	B-6
stages	I-6
processor	B-6
processor	B-6
allocation	I-6
processor	B-6
architecture	I-6
processor	B-6
specific	I-6
processors	B-6
program	B-6
counter	I-6
reduced	B-6
instruction	I-6
set	I-6
computer	I-6
register	B-6
registers	B-6
RISC	B-6
role	B-6
shift	B-6
shift	B-6
function	I-6
shift	B-6
functions	I-6
shift	B-6
left	I-6
shift	B-6
right	I-6
shifts	B-6
status	B-6
register	I-6
sub-task	B-6
sub-tasks	B-6
subtask	B-6
subtasks	B-6
unconditional	B-6
1st Normal Form	B-7
2nd Normal Form	B-7
3rd Normal Form	B-7
1NF	B-7
2NF	B-7
3NF	B-7
ACID	B-7
atomicity	B-7
atomicity	B-7
consistency	I-7
isolation	I-7
durability	I-7
attribute	B-7
capture	B-7
Char(n)	B-7
commitment	B-7
ordering	I-7
composite	B-7
primary	I-7
key	I-7
conceptual	B-7
data	I-7
model	I-7
conceptual	B-7
data	I-7
models	I-7
concurrent	B-7
access	I-7
consistency	B-7
contemporary	B-7
database	I-7
system	I-7
CREATE	B-7
TABLE	I-7
data	B-7
consistency	I-7
data	B-7
dictionaries	I-7
data	B-7
dictionary	I-7
data	B-7
independence	I-7
data	B-7
manipulation	I-7
data	B-7
normalisation	I-7
data	B-7
normalization	I-7
data	B-7
redundancy	I-7
data	B-7
requirements	I-7
data	B-7
validation	I-7
data	B-7
vertification	I-7
data	B-7
warehousing	I-7
database	B-7
database	B-7
function	I-7
database	B-7
functions	I-7
database	B-7
management	I-7
system	I-7
database	B-7
management	I-7
systems	I-7
database	B-7
system	I-7
database	B-7
systems	I-7
database	B-7
table	I-7
database	B-7
tables	I-7
Date	B-7
Time	I-7
DBMS	B-7
define	B-7
DELETE	B-7
delete	B-7
vulnerability	B-22
vulnerabilities	B-22
white	B-22
hat	I-22
white	B-22
hat	I-22
hacking	I-22
white-hat	B-22
white-hat	B-22
hacking	I-22
worm	B-22
write	B-22
protect	I-22
write	B-22
protect	I-22
mechanism	I-22
write-protect	B-22
write-protect	B-22
mechanism	I-22
address	B-23
bus	I-23
address	B-23
bus	I-23
width	I-23
ADC	B-23
addressable	B-23
memory	I-23
analogue	B-23
analogue	B-23
to	I-23
digital	I-23
analogue	B-23
to	I-23
digital	I-23
converter	I-23
DAC	B-23
digital	B-23
digital	B-23
age	I-23
digital	B-23
camera	I-23
digital	B-23
representation	I-23
digital	B-23
technology	I-23
digital	B-23
technologies	I-23
digital	B-23
to	I-23
analogue	I-23
digital	B-23
to	I-23
analogue	I-23
converter	I-23
signal	B-23
signals	B-23
academic	B-24
academic	B-24
writing	I-24
study	B-24
study	B-24
skills	I-24
time	B-24
management	I-24
university	B-24
artificial	B-25
intelligence	I-25
machine	B-25
learning	I-25
neural	B-25
neural	B-25
network	I-25
neural	B-25
networks	I-25
prediction	B-25
predictions	B-25
robotics	B-25
test	B-25
data	I-25
train	B-25
data	I-25
business	B-26
client	B-26
clients	B-26
commerce	B-26
e-commerce	B-26
ecommerce	B-26
economics	B-26
enterprise	B-26
industry	B-26
online	B-26
business	I-26
<a>	B-27
<body>	B-27
<div>	B-27
<form>	B-27
<h1>	B-27
<head>	B-27
<html>	B-27
<img>	B-27
<input>	B-27
<li>	B-27
<link>	B-27
<ol>	B-27
<p>	B-27
<script>	B-27
<title>	B-27
<ul>	B-27
</a>	B-27
</body>	B-27
</div>	B-27
</form>	B-27
</h1>	B-27
</head>	B-27
</html>	B-27
</img>	B-27
</input>	B-27
</li>	B-27
</link>	B-27
</ol>	B-27
</p>	B-27
</script>	B-27
</title>	B-27
</ul>	B-27
alert	B-27
box	I-27
background-color	B-27
border-color	B-27
border-style	B-27
border-width	B-27
cascading	B-27
style	I-27
sheets	I-27
color	B-27
contemporary	B-27
wireless	I-27
technologies	I-27
contemporary	B-27
wireless	I-27
technology	I-27
CSS	B-27
digital	B-27
certificate	I-27
digital	B-27
certificates	I-27
DNS	B-27
domain	B-27
domain	B-27
name	I-27
domain	B-27
name	I-27
server	I-27
system	I-27
exploitation	B-27
File	B-27
Transfer	I-27
Protocol	I-27
font-family	B-27
font-size	B-27
FQDN	B-27
FTP	B-27
fully	B-27
qualified	I-27
domain	I-27
name	I-27
gateway	B-27
height	B-27
hex	B-27
hex	B-27
colour	I-27
hex	B-27
colours	I-27
HTML	B-27
HTTP	B-27
HTTPS	B-27
hyper	B-27
text	I-27
markup	I-27
language	I-27
hyper	B-27
text	I-27
mark-up	I-27
language	I-27
hyper-text	B-27
markup	I-27
language	I-27
hyper-text	B-27
mark-up	I-27
language	I-27
hypertext	B-27
markup	I-27
language	I-27
hypertext	B-27
mark-up	I-27
language	I-27
hyper	B-27
text	I-27
transfer	I-27
protocol	I-27
hyper-text	B-27
tranfer	I-27
protocol	I-27
Hypertext	B-27
Transfer	I-27
Protocol	I-27
hyper	B-27
text	I-27
transfer	I-27
protocol	I-27
secure	I-27
hyper-text	B-27
tranfer	I-27
protocol	I-27
secure	I-27
Hypertext	B-27
Transfer	I-27
Protocol	I-27
Secure	I-27
internet	B-27
internet	B-27
structure	I-27
intranet	B-27
JavaScript	B-27
JavaScript	B-27
Object	I-27
JavaScript	B-27
Object	I-27
Notation	I-27
JS	B-27
search	B-27
search	B-27
engine	I-27
search	B-27
engine	I-27
indexing	I-27
search	B-27
engines	I-27
stateful	B-27
inspection	I-27
style	B-27
attribute	I-27
uniform	B-27
resource	I-27
locator	I-27
URL	B-27
URLs	B-27
v4	B-27
v6	B-27
web	B-27
web	B-27
browser	I-27
web	B-27
browsers	I-27
Web	B-27
CRUD	I-27
Applications	I-27
web	B-27
page	I-27
web	B-27
page	I-27
resources	I-27
web	B-27
server	I-27
width	B-27
world	B-27
wide	I-27
world	B-27
wide	I-27
web	I-27
world-wide	B-27
world-wide	B-27
communications	I-27
world-wide	B-27
web	I-27
animation	B-28
bitmap	B-28
bitmapped	B-28
graphics	I-28
bitmaps	B-28
colour	B-28
depth	I-28
compression	B-28
compression	B-28
ratio	I-28
compression	B-28
time	I-28
compressions	B-28
computer	B-28
generated	I-28
graphics	I-28
convert	B-28
create	B-28
creative	B-28
creative	B-28
computing	I-28
decryption	B-28
graphic	B-28
graphics	B-28
image	B-28
image	B-28
representation	I-28
images	B-28
lossless	B-28
lossy	B-28
MIDI	B-28
music	B-28
representation	I-28
Musical	B-28
Instrument	I-28
Digital	I-28
Interface	I-28
Nyquist	B-28
Nyquist	B-28
theorem	I-28
representing	B-28
music	I-28
resolution	B-28
RLE	B-28
run	B-28
length	I-28
encoding	I-28
run-length	B-28
encoding	I-28
sample	B-28
resolution	I-28
sampling	B-28
rate	I-28
size	B-28
in	I-28
pixels	I-28
sound	B-28
visual	B-28
game	B-29
game	B-29
design	I-29
games	B-29
gaming	B-29
player	B-29
players	B-29
annotated	B-30
evidence	I-30
data	B-30
collection	I-30
describe	B-30
description	B-30
essential	B-30
features	I-30
evidence	B-30
explain	B-30
explanation	B-30
final	B-30
product	I-30
individual	B-30
system	I-30
function	I-30
investigation	B-30
justify	B-30
justification	B-30
maintenance	B-30
documentation	I-30
measurable	B-30
measurable	B-30
success	I-30
criteria	I-30
measuremnt	B-30
measures	B-30
objective	B-30
objectives	B-30
outcome	B-30
outcomes	B-30
own	B-30
performance	I-30
people	B-30
person	B-30
phase	B-30
phased	B-30
phases	B-30
post	B-30
development	I-30
post	B-30
prototype	I-30
post-development	B-30
post-prototype	B-30
produce	B-30
product	B-30
project	B-30
project	B-30
strengths	I-30
project	B-30
weaknesses	I-30
proposed	B-30
project	I-30
proposed	B-30
solution	I-30
purpose	B-30
remedial	B-30
action	I-30
report	B-30
requirement	B-30
requirements	B-30
research	B-30
robustness	B-30
similar	B-30
similar	B-30
problem	I-30
similar	B-30
problems	I-30
solution	B-30
solution	B-30
requirements	I-30
solutions	B-30
specific	B-30
purpose	I-30
specific	B-30
suggestion	I-30
specific	B-30
suggestions	I-30
specification	B-30
specified	B-30
specify	B-30
strengths	B-30
success	B-30
criteria	I-30
successful	B-30
features	I-30
suggestions	B-30
suggestions	B-30
suitability	B-30
suitable	B-30
suitable	B-30
hardware	I-30
suitable	B-30
software	I-30
test	B-30
evidence	I-30
test	B-30
plan	I-30
test	B-30
run	I-30
test-run	B-30
testing	B-30
evidence	I-30
testing	B-30
process	I-30
understand	B-30
usability	B-30
features	I-30
usability	B-30
testing	I-30
user	B-30
documentation	I-30
user	B-30
feedback	I-30
user	B-30
feed-back	I-30
user	B-30
feedback	I-30
weaknesses	B-30
whole	B-30
system	I-30
working	B-30
specification	I-30
computer	B-31
science	I-31
degree	B-31
computer	B-31
science	I-31
degree	I-31
computer	B-31
science	I-31
module	I-31
computer	B-31
science	I-31
subject	I-31
scientific	B-31
computer	B-32
engineering	I-32
computer	B-32
engineering	I-32
degree	I-32
computer	B-32
engineering	I-32
module	I-32
computer	B-32
engineering	I-32
subject	I-32
engineering	B-32
computing	B-33
science	I-33
computing	B-33
science	I-33
degree	I-33
computing	B-33
science	I-33
module	I-33
computing	B-33
science	I-33
subject	I-33
computing	B-34
computing	B-34
degree 	I-34
computing	B-34
module	I-34
computing	B-34
subject	I-34
computing	B-34
industry	I-34
developments	B-34
in	I-34
computing	I-34
elective	B-35
optional	B-35
other	B-35
other	B-35
module	I-35
other	B-35
modules	I-35
other	B-35
subject	I-35
